Model,Avg_R2,Train_Time_s,gross_rental_yield_R2,gross_rental_yield_MAE,gross_rental_yield_RMSE,net_rental_yield_R2,net_rental_yield_MAE,net_rental_yield_RMSE,roi_percent_R2,roi_percent_MAE,roi_percent_RMSE
XGBoost_Tuned,0.8322,2.61,0.9137,0.2425,0.3035,0.9137,0.194,0.2428,0.6691,0.4438,0.5556
LightGBM_Tuned,0.8322,1.49,0.9137,0.2426,0.3036,0.9136,0.1942,0.243,0.6693,0.4434,0.5553
